term,corpus_count,document_frequency,category,rationale
ea,228,192,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pone,117,117,doi_or_journal_fragment,Occurs in PLOS DOI strings such as journal.pone.
mau,114,112,author_or_dual_use_collision,Often appears as author initials/name rather than Maori usage.
hou,90,83,author_or_dual_use_collision,Often author surname or split from householder.
puri,90,75,author_or_dual_use_collision,Often author surname.
ure,78,78,ocr_or_tokenisation_artifact,Commonly split from figure/capture/future.
hao,75,67,author_or_dual_use_collision,Often author surname.
ture,73,73,ocr_or_tokenisation_artifact,Commonly split from literature/future.
ere,72,72,ocr_or_tokenisation_artifact,Commonly split from were/there.
noti,71,56,ocr_or_tokenisation_artifact,Fragment of notified/notification.
mana,69,54,dual_use_or_fragment,Frequently appears inside management/manager; requires context-aware validation.
ine,66,63,ocr_or_tokenisation_artifact,Commonly split from line/online/inefficient.
ao,66,62,short_dual_use_fragment,"Often acronym, Portuguese ending, or text fragment."
tanaka,65,65,author_or_person_name,Primarily author surname in references.
ara,63,51,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ito,60,58,author_or_person_name,Primarily author surname in references.
ani,54,47,author_or_dual_use_collision,Often author surname/acronym or substring.
ina,53,53,ocr_or_tokenisation_artifact,Commonly split from inactive/inability or DOI fragments.
ata,52,51,ocr_or_tokenisation_artifact,Commonly split from data.
niwa,48,37,institutional_acronym,Usually National Institute of Water and Atmospheric Research acronym.
kuramoto,48,35,author_or_person_name,Kuramoto model / author name.
pore,47,44,english_or_technical_collision,English technical term.
mei,46,46,author_or_dual_use_collision,Mostly author surname or non-target token in sampled contexts.
ome,44,43,ocr_or_tokenisation_artifact,Commonly split from become/outcome/some.
moreno,43,43,author_or_person_name,Primarily author surname in references.
akaike,43,42,author_or_person_name,Akaike information criterion / author name.
aei,43,40,ocr_or_tokenisation_artifact,Short extraction or DOI fragment.
ue,43,40,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
mea,43,39,ocr_or_tokenisation_artifact,Commonly split from measure/mean.
ree,38,38,ocr_or_tokenisation_artifact,Commonly split from three.
romero,38,38,author_or_person_name,Primarily author surname in references.
wai,38,34,author_or_place_fragment,Often author surname/fragment; place-name use requires context.
kimura,37,37,author_or_person_name,Primarily author surname in references.
kuo,37,37,author_or_person_name,Primarily author surname in references.
hui,36,34,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
runge,36,32,author_or_person_name,Runge-Kutta method / author name.
automata,36,28,english_or_technical_collision,Technical term in computer science.
pii,35,35,doi_or_journal_fragment,Publisher article identifier fragment.
niu,34,34,author_or_dual_use_collision,Mostly author surname in sampled contexts.
pini,34,34,author_or_dual_use_collision,High-risk short name/collision; retained use would need manual context validation.
mora,33,33,author_or_person_name,Primarily author/name collision in references.
teo,33,33,author_or_person_name,Primarily author surname in references.
eme,33,29,ocr_or_tokenisation_artifact,Commonly split from element/emergency or similar.
ene,32,30,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tamura,31,31,author_or_person_name,Primarily author surname in references.
epi,31,28,acronym_or_index,"Usually an acronym such as EPI, not Maori-language use."
hira,30,30,author_or_person_name,Primarily author/name collision in references.
ima,30,30,acronym_or_journal_abbreviation,Usually IMA or another abbreviation in references.
whi,30,30,ocr_or_tokenisation_artifact,Commonly split from which/while.
nakamura,29,29,author_or_person_name,Primarily author surname in references.
anu,29,28,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nee,29,27,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
rahouti,29,24,author_or_person_name,Primarily author name in references.
ena,28,28,ocr_or_tokenisation_artifact,Short extraction fragment.
iare,28,28,ocr_or_tokenisation_artifact,Joined/split mathematical text fragment.
minima,28,28,english_or_technical_collision,Mathematical term.
reneke,28,28,author_or_extraction_collision,High-risk repeated token in technical subcorpus; requires manual validation before use.
herawati,28,26,author_or_person_name,Primarily author surname in references.
ite,28,26,ocr_or_tokenisation_artifact,Commonly split from site/finite/white.
kato,27,27,author_or_person_name,Primarily author surname in references.
kema,27,27,author_or_extraction_collision,High-risk repeated token; requires manual validation before use.
neri,27,27,author_or_name_or_acronym,High-risk author/name/acronym collision in sampled corpus.
popu,27,27,ocr_or_tokenisation_artifact,Commonly split from population.
ope,27,25,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
inoue,26,26,author_or_person_name,Primarily author surname in references.
hea,26,25,ocr_or_tokenisation_artifact,Commonly split from heading/health or other words.
opoku,26,19,author_or_person_name,Primarily author surname in references.
uo,26,18,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
mena,26,16,author_or_person_name,Primarily author/name collision in references.
hane,25,25,ocr_or_tokenisation_artifact,Short extraction fragment.
ame,25,25,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ute,25,25,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tohoku,25,24,non_nz_place_or_name,Japanese place/institution name in references.
toa,25,24,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ato,25,24,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nge,24,24,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nare,24,23,ocr_or_tokenisation_artifact,Joined/split mathematical text fragment.
rii,23,23,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iea,23,22,acronym_or_fragment,Acronym/fragment in technical text.
ua,23,22,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ono,23,22,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nga,23,22,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nono,23,19,ocr_or_tokenisation_artifact,Short extraction fragment.
nanopore,23,17,english_or_technical_collision,Sequencing technology term.
pangenome,23,16,english_or_technical_collision,Genomics term.
hoai,22,22,ocr_or_tokenisation_artifact,Likely joined/fragmented technical text.
ano,22,22,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
moreira,22,21,author_or_person_name,Primarily author surname in references.
ngowi,22,16,author_or_person_name,Primarily author surname in references.
amore,21,21,english_or_tokenisation_collision,"Often English 'a more' or name collision, not validated Maori usage."
wherea,21,21,ocr_or_tokenisation_artifact,Joined token from 'where A'.
ime,21,21,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
amo,21,21,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kao,21,21,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ori,21,21,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ona,21,20,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nakano,20,20,author_or_person_name,Primarily author surname in references.
neto,20,20,author_or_person_name,Primarily author surname in references.
rami,20,20,author_or_name_collision,High-risk name collision in references.
tapia,20,20,author_or_person_name,Primarily author surname in references.
ete,20,20,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
mani,20,18,author_or_tokenisation_collision,High-risk name/fragment collision.
